ref_level,cut,fill,swell_cut
0.0,394283.725622770,0.0,394283.725622770
0.5,377439.521905982,299.520860219342,377439.521905982
1.0,360671.565530206,675.289061451011,360671.565530206
1.5,343926.233002881,1073.68111113175,343926.233002881
2.0,327256.521278746,1547.69396400546,327256.521278746
2.5,310705.039058855,2139.93632111471,310705.039058855
3.0,294346.671761941,2925.29360120698,294346.671761941
3.5,278012.326342300,3734.67275857143,278012.326342300
4.0,261698.203534652,4564.27452793616,261698.203534652
4.5,245512.908612424,5522.70418271012,245512.908612424
5.0,229396.202154079,6549.72230136953,229396.202154079
5.5,213806.687841199,8103.93256549592,213806.687841199
6.0,198657.519129854,10098.4884311589,198657.519129854
6.5,183627.360725442,12212.0546037551,183627.360725442
7.0,168979.288310696,14707.7067662893,168979.288310696
7.5,154769.182138066,17641.3251690837,154769.182138066
8.0,140787.342137511,20803.2097474218,140787.342137511
8.5,126965.313829298,24124.9060170372,126965.313829298
9.0,113296.275776416,27599.5925400825,113296.275776416
9.5,99964.7212380752,31411.7625798403,99964.7212380752
10.0,88100.1651569204,36690.9310739854,88100.1651569204
10.5,77005.5214340170,42740.0119287584,77005.5214340170
11.0,66252.6345227371,49130.8495944781,66252.6345227371
11.5,56458.5301826368,56480.4698323153,56458.5301826368
12.0,47747.9266790503,64913.5909054307,47747.9266790503
12.5,39882.1893716020,74191.5781747969,39882.1893716020
13.0,32664.5523637917,84117.6657438241,32664.5523637917
13.5,26228.7679392558,94825.6058968350,26228.7679392558
14.0,21531.3778129562,107271.940348493,21531.3778129562
14.5,17464.0537346707,120348.340846811,17464.0537346707
15.0,14066.8500016489,134094.861690580,14066.8500016489
15.5,10740.3298980723,147912.066164721,10740.3298980723
16.0,7612.48943072674,161927.950272752,7612.48943072674
16.5,4844.32377399236,176303.509193100,4844.32377399236
17.0,2757.84468055738,191360.754676031,2757.84468055738
17.5,1102.47910765186,206849.113680124,1102.47910765186
18.0,337.355938738910,223227.715088221,337.355938738910
18.5,1.12758319010027,240035.211309679,1.12758319010027
